asset_id,timestamp,temperature_C,vibration_mm_s,oil_quality_index,runtime_hours,is_anomaly
Gearbox_1,2025-07-02 01:00:00,75.44,1.446,98.1,25.8,0
Gearbox_1,2025-07-02 02:00:00,58.47,1.352,94.0,25.3,0
Gearbox_1,2025-07-02 03:00:00,53.25,0.856,97.3,27.1,0
Gearbox_1,2025-07-02 04:00:00,58.94,0.835,96.7,25.0,0
Gearbox_1,2025-07-02 05:00:00,56.59,1.73,97.6,27.2,0
Gearbox_1,2025-07-02 06:00:00,62.75,1.555,95.6,33.2,0
Gearbox_1,2025-07-02 07:00:00,61.59,0.0,95.0,31.7,0
Gearbox_1,2025-07-02 08:00:00,58.69,1.519,96.9,31.3,0
Gearbox_1,2025-07-02 09:00:00,56.37,1.667,94.7,33.1,0
Gearbox_1,2025-07-02 10:00:00,55.3,0.906,98.4,34.4,0
Gearbox_1,2025-07-02 11:00:00,60.93,1.374,98.0,36.2,0
Gearbox_1,2025-07-02 12:00:00,57.19,1.401,98.4,36.8,0
Gearbox_1,2025-07-02 13:00:00,56.7,1.225,96.7,38.0,0
Gearbox_1,2025-07-02 14:00:00,52.64,1.33,98.0,36.5,0
Gearbox_1,2025-07-02 15:00:00,57.44,1.257,95.9,40.5,0
Gearbox_1,2025-07-02 16:00:00,59.14,0.605,94.4,39.3,0
Gearbox_1,2025-07-02 17:00:00,57.14,1.412,96.6,39.9,0
Gearbox_1,2025-07-02 18:00:00,54.38,1.074,97.6,42.5,0
Gearbox_1,2025-07-02 19:00:00,58.16,1.121,97.8,43.3,0
Gearbox_1,2025-07-02 20:00:00,58.93,1.878,95.4,45.3,0
Gearbox_1,2025-07-02 21:00:00,58.78,1.232,100.3,43.9,0
Gearbox_1,2025-07-02 22:00:00,66.34,1.525,96.0,44.0,0
Gearbox_1,2025-07-02 23:00:00,63.67,1.114,97.0,46.8,0
Gearbox_1,2025-07-03 00:00:00,57.56,1.373,94.8,46.4,0
Gearbox_1,2025-07-03 01:00:00,58.72,1.845,99.9,51.3,0
Gearbox_1,2025-07-03 02:00:00,64.36,1.494,93.6,51.0,0
Gearbox_1,2025-07-03 03:00:00,58.53,0.528,96.7,53.3,0
Gearbox_1,2025-07-03 04:00:00,61.21,1.252,95.1,50.0,0
Gearbox_1,2025-07-03 05:00:00,60.47,0.938,95.4,51.5,0
Gearbox_1,2025-07-03 06:00:00,52.81,0.879,97.2,53.2,0
Gearbox_1,2025-07-03 07:00:00,61.61,1.028,92.6,55.9,0
Gearbox_1,2025-07-03 08:00:00,59.6,1.079,95.1,56.9,0
Gearbox_1,2025-07-03 09:00:00,53.33,1.714,98.4,56.0,0
Gearbox_1,2025-07-03 10:00:00,60.63,0.818,94.3,60.3,0
Gearbox_1,2025-07-03 11:00:00,60.73,0.896,95.9,56.9,0
Gearbox_1,2025-07-03 12:00:00,54.46,1.04,95.1,60.1,0
Gearbox_1,2025-07-03 13:00:00,53.8,0.54,97.8,61.8,0
Gearbox_1,2025-07-03 14:00:00,58.42,1.348,93.8,59.6,0
Gearbox_1,2025-07-03 15:00:00,56.47,1.476,95.7,61.7,0
Gearbox_1,2025-07-03 16:00:00,54.61,1.254,95.7,60.3,0
Gearbox_1,2025-07-03 17:00:00,59.34,0.953,96.0,66.8,0
Gearbox_1,2025-07-03 18:00:00,56.73,0.411,95.0,67.3,0
Gearbox_1,2025-07-03 19:00:00,57.21,1.206,98.2,67.5,0
Gearbox_1,2025-07-03 20:00:00,56.33,1.188,97.2,68.5,0
Gearbox_1,2025-07-03 21:00:00,56.05,1.487,95.9,69.1,0
Gearbox_1,2025-07-03 22:00:00,59.9,1.428,99.2,69.3,0
Gearbox_1,2025-07-03 23:00:00,64.93,1.222,94.8,68.3,0
Gearbox_1,2025-07-04 00:00:00,61.57,0.859,97.5,72.2,0
Gearbox_1,2025-07-04 01:00:00,57.73,1.156,98.6,71.5,0
Gearbox_1,2025-07-04 02:00:00,50.85,0.685,94.3,72.5,0
Gearbox_1,2025-07-04 03:00:00,57.07,1.055,97.9,74.6,0
Gearbox_1,2025-07-04 04:00:00,60.0,2.037,96.8,75.6,0
Gearbox_1,2025-07-04 05:00:00,55.84,0.887,96.9,76.1,0
Gearbox_1,2025-07-04 06:00:00,48.97,0.643,95.3,79.9,0
Gearbox_1,2025-07-04 07:00:00,64.02,1.389,94.6,80.4,0
Gearbox_1,2025-07-04 08:00:00,61.51,1.385,97.5,78.2,0
Gearbox_1,2025-07-04 09:00:00,56.91,1.25,94.4,81.9,0
Gearbox_1,2025-07-04 10:00:00,51.96,0.688,99.8,80.9,0
Gearbox_1,2025-07-04 11:00:00,60.1,1.176,96.9,82.2,0
Gearbox_1,2025-07-04 12:00:00,61.64,1.142,97.3,82.0,0
Gearbox_1,2025-07-04 13:00:00,53.9,1.496,97.5,85.3,0
Gearbox_1,2025-07-04 14:00:00,62.72,0.492,94.4,86.4,0
Gearbox_1,2025-07-04 15:00:00,54.9,0.813,94.2,87.3,0
Gearbox_1,2025-07-04 16:00:00,59.13,0.935,96.9,88.7,0
Gearbox_1,2025-07-04 17:00:00,66.27,1.384,95.7,88.9,0
Gearbox_1,2025-07-04 18:00:00,57.19,1.11,97.8,88.9,0
Gearbox_1,2025-07-04 19:00:00,63.16,1.111,93.7,91.8,0
Gearbox_1,2025-07-04 20:00:00,59.23,0.758,98.6,92.6,0
Gearbox_1,2025-07-04 21:00:00,58.43,1.17,95.8,93.0,0
Gearbox_1,2025-07-04 22:00:00,54.27,1.642,97.0,95.9,0
Gearbox_1,2025-07-04 23:00:00,63.09,0.955,99.2,95.1,0
Gearbox_1,2025-07-05 00:00:00,64.94,1.001,96.1,95.3,0
Gearbox_1,2025-07-05 01:00:00,59.45,1.493,96.2,96.9,0
Gearbox_1,2025-07-05 02:00:00,60.62,0.925,95.6,98.2,0
Gearbox_1,2025-07-05 03:00:00,55.83,0.955,97.7,101.1,0
Gearbox_1,2025-07-05 04:00:00,56.66,1.248,97.2,99.1,0
Gearbox_1,2025-07-05 05:00:00,55.11,0.967,97.0,98.9,0
Gearbox_1,2025-07-05 06:00:00,63.1,1.352,95.9,101.3,0
Gearbox_1,2025-07-05 07:00:00,60.68,1.632,97.7,104.2,0
Gearbox_1,2025-07-05 08:00:00,59.06,1.277,95.9,103.7,0
Gearbox_1,2025-07-05 09:00:00,58.61,1.374,100.5,105.3,0
Gearbox_1,2025-07-05 10:00:00,59.66,0.992,96.9,105.9,0
Gearbox_1,2025-07-05 11:00:00,51.55,0.952,97.2,108.8,0
Gearbox_1,2025-07-05 12:00:00,58.1,0.641,92.6,110.3,0
Gearbox_1,2025-07-05 13:00:00,55.86,1.376,96.4,109.4,0
Gearbox_1,2025-07-05 14:00:00,59.5,0.71,99.2,109.9,0
Gearbox_1,2025-07-05 15:00:00,60.46,1.373,99.0,111.5,0
Gearbox_1,2025-07-05 16:00:00,64.88,0.911,99.8,111.9,0
Gearbox_1,2025-07-05 17:00:00,55.46,0.99,92.2,114.3,0
Gearbox_1,2025-07-05 18:00:00,58.19,1.147,94.5,112.5,0
Gearbox_1,2025-07-05 19:00:00,49.21,0.797,96.1,115.3,0
Gearbox_1,2025-07-05 20:00:00,62.56,1.169,95.4,118.1,0
Gearbox_1,2025-07-05 21:00:00,55.99,1.609,96.9,118.6,0
Gearbox_1,2025-07-05 22:00:00,56.22,1.331,95.5,117.0,0
Gearbox_1,2025-07-05 23:00:00,58.94,1.058,93.6,119.1,0
Gearbox_1,2025-07-06 00:00:00,51.91,1.239,98.3,118.2,0
Gearbox_1,2025-07-06 01:00:00,62.48,1.677,98.9,120.7,0
Gearbox_1,2025-07-06 02:00:00,55.48,1.151,98.6,121.2,0
Gearbox_1,2025-07-06 03:00:00,50.67,0.707,98.5,124.7,0
Gearbox_1,2025-07-06 04:00:00,52.73,0.615,95.7,124.1,0
Gearbox_1,2025-07-06 05:00:00,67.85,1.521,96.9,124.5,0
Gearbox_1,2025-07-06 06:00:00,58.73,1.416,96.3,127.1,0
Gearbox_1,2025-07-06 07:00:00,60.06,1.891,96.2,128.4,0
Gearbox_1,2025-07-06 08:00:00,53.76,0.942,99.9,128.9,0
Gearbox_1,2025-07-06 09:00:00,60.14,1.23,98.3,129.2,0
Gearbox_1,2025-07-06 10:00:00,53.36,1.266,95.1,131.0,0
Gearbox_1,2025-07-06 11:00:00,60.4,1.075,98.2,131.5,0
Gearbox_1,2025-07-06 12:00:00,64.69,1.099,96.5,131.6,0
Gearbox_1,2025-07-06 13:00:00,48.81,1.735,98.3,131.5,0
Gearbox_1,2025-07-06 14:00:00,68.81,0.674,93.5,130.3,0
Gearbox_1,2025-07-06 15:00:00,62.34,1.426,97.0,135.9,0
Gearbox_1,2025-07-06 16:00:00,57.24,0.814,94.5,134.9,0
Gearbox_1,2025-07-06 17:00:00,62.73,1.353,94.7,135.5,0
Gearbox_1,2025-07-06 18:00:00,60.48,1.238,98.9,135.6,0
Gearbox_1,2025-07-06 19:00:00,58.68,0.669,99.6,139.1,0
Gearbox_1,2025-07-06 20:00:00,62.53,0.924,97.0,138.9,0
Gearbox_1,2025-07-06 21:00:00,60.36,1.175,96.2,142.0,0
Gearbox_1,2025-07-06 22:00:00,70.11,0.879,89.9,141.9,0
Gearbox_1,2025-07-06 23:00:00,65.83,0.956,94.6,143.9,0
Gearbox_1,2025-07-07 00:00:00,51.6,0.474,97.0,144.4,0
Gearbox_1,2025-07-07 01:00:00,60.49,1.367,96.5,147.5,0
Gearbox_1,2025-07-07 02:00:00,54.53,1.554,97.4,145.8,0
Gearbox_1,2025-07-07 03:00:00,59.24,1.239,95.8,148.8,0
Gearbox_1,2025-07-07 04:00:00,52.61,0.529,97.3,146.8,0
Gearbox_1,2025-07-07 05:00:00,62.37,1.201,96.2,149.0,0
Gearbox_1,2025-07-07 06:00:00,63.06,1.36,94.7,149.0,0
Gearbox_1,2025-07-07 07:00:00,62.28,1.176,94.0,151.0,0
Gearbox_1,2025-07-07 08:00:00,60.98,1.195,92.8,152.1,0
Gearbox_1,2025-07-07 09:00:00,64.08,2.449,99.0,155.3,0
Gearbox_1,2025-07-07 10:00:00,57.24,1.228,96.3,153.1,0
Gearbox_1,2025-07-07 11:00:00,62.8,0.694,95.9,151.2,0
Gearbox_1,2025-07-07 12:00:00,46.94,0.981,97.0,155.1,0
Gearbox_1,2025-07-07 13:00:00,61.21,1.591,96.1,157.0,0
Gearbox_1,2025-07-07 14:00:00,66.3,1.687,96.0,157.7,0
Gearbox_1,2025-07-07 15:00:00,66.82,1.927,95.2,158.1,0
Gearbox_1,2025-07-07 16:00:00,55.21,1.877,96.6,160.0,0
Gearbox_1,2025-07-07 17:00:00,54.23,0.806,97.3,159.0,0
Gearbox_1,2025-07-07 18:00:00,55.19,1.059,95.9,163.5,0
Gearbox_1,2025-07-07 19:00:00,62.78,1.707,97.3,162.0,0
Gearbox_1,2025-07-07 20:00:00,49.75,1.095,95.8,162.4,0
Gearbox_1,2025-07-07 21:00:00,59.87,1.344,97.7,164.7,0
Gearbox_1,2025-07-07 22:00:00,55.67,1.605,96.4,166.6,0
Gearbox_1,2025-07-07 23:00:00,50.68,1.623,97.6,167.8,0
Gearbox_1,2025-07-08 00:00:00,54.87,1.768,96.9,167.7,0
Gearbox_1,2025-07-08 01:00:00,58.77,0.909,97.4,168.8,0
Gearbox_1,2025-07-08 02:00:00,57.02,1.788,95.5,171.1,0
Gearbox_1,2025-07-08 03:00:00,64.38,0.991,100.8,168.7,0
Gearbox_1,2025-07-08 04:00:00,64.14,1.456,95.2,175.1,0
Gearbox_1,2025-07-08 05:00:00,63.0,0.784,95.9,174.0,0
Gearbox_1,2025-07-08 06:00:00,61.54,0.826,99.6,176.3,0
Gearbox_1,2025-07-08 07:00:00,63.6,1.013,94.2,174.4,0
Gearbox_1,2025-07-08 08:00:00,50.74,1.021,93.4,176.2,0
Gearbox_1,2025-07-08 09:00:00,45.77,1.174,99.4,175.2,0
Gearbox_1,2025-07-08 10:00:00,60.06,1.149,95.9,176.5,0
Gearbox_1,2025-07-08 11:00:00,55.09,1.177,94.9,180.4,0
Gearbox_1,2025-07-08 12:00:00,62.68,1.207,97.2,176.4,0
Gearbox_1,2025-07-08 13:00:00,53.06,1.347,96.2,182.2,0
Gearbox_1,2025-07-08 14:00:00,55.05,0.828,96.3,180.9,0
Gearbox_1,2025-07-08 15:00:00,59.09,1.337,97.9,181.8,0
Gearbox_1,2025-07-08 16:00:00,55.42,0.958,94.8,184.0,0
Gearbox_1,2025-07-08 17:00:00,57.56,1.082,93.4,185.5,0
Gearbox_1,2025-07-08 18:00:00,58.35,1.289,94.9,187.3,0
Gearbox_1,2025-07-08 19:00:00,52.23,1.84,98.2,187.2,0
Gearbox_1,2025-07-08 20:00:00,54.89,1.067,95.5,188.7,0
Gearbox_1,2025-07-08 21:00:00,53.9,1.192,98.8,192.1,0
Gearbox_1,2025-07-08 22:00:00,60.63,1.6,100.9,188.4,0
Gearbox_1,2025-07-08 23:00:00,57.37,0.832,98.3,191.5,0
Gearbox_1,2025-07-09 00:00:00,58.7,1.49,97.1,193.9,0
Gearbox_1,2025-07-09 01:00:00,57.35,1.545,95.3,195.4,0
Gearbox_1,2025-07-09 02:00:00,64.14,1.295,95.7,192.2,0
Gearbox_1,2025-07-09 03:00:00,67.53,1.376,96.4,195.2,0
Gearbox_1,2025-07-09 04:00:00,57.71,1.15,94.4,196.6,0
Gearbox_1,2025-07-09 05:00:00,58.39,1.444,95.3,196.2,0
Gearbox_1,2025-07-09 06:00:00,63.69,1.325,99.4,196.6,0
Gearbox_1,2025-07-09 07:00:00,51.53,1.529,99.2,200.2,0
Gearbox_1,2025-07-09 08:00:00,64.03,0.871,96.5,200.1,0
Gearbox_1,2025-07-09 09:00:00,63.3,0.967,92.8,201.3,0
Gearbox_1,2025-07-09 10:00:00,64.72,1.222,93.2,204.4,0
Gearbox_1,2025-07-09 11:00:00,61.28,0.978,96.5,203.2,0
Gearbox_1,2025-07-09 12:00:00,55.68,0.704,96.0,203.4,0
Gearbox_1,2025-07-09 13:00:00,55.42,0.54,96.3,204.5,0
Gearbox_1,2025-07-09 14:00:00,55.22,1.861,96.0,205.5,0
Gearbox_1,2025-07-09 15:00:00,51.67,0.643,97.7,204.3,0
Gearbox_1,2025-07-09 16:00:00,59.46,1.76,97.7,207.3,0
Gearbox_1,2025-07-09 17:00:00,54.36,1.117,94.9,208.7,0
Gearbox_1,2025-07-09 18:00:00,58.88,1.53,96.6,209.9,0
Gearbox_1,2025-07-09 19:00:00,59.29,1.151,92.7,209.3,0
Gearbox_1,2025-07-09 20:00:00,54.9,0.97,99.3,213.9,0
Gearbox_1,2025-07-09 21:00:00,57.67,1.149,97.6,215.1,0
Gearbox_1,2025-07-09 22:00:00,63.87,0.809,95.7,215.5,0
Gearbox_1,2025-07-09 23:00:00,65.08,0.607,94.7,217.0,0
Gearbox_1,2025-07-10 00:00:00,60.16,1.042,96.0,216.0,0
Gearbox_1,2025-07-10 01:00:00,57.23,1.117,98.9,216.9,0
Gearbox_1,2025-07-10 02:00:00,57.4,1.17,96.8,219.0,0
Gearbox_1,2025-07-10 03:00:00,68.94,0.578,95.0,221.6,0
Gearbox_1,2025-07-10 04:00:00,62.27,1.934,94.4,217.0,0
Gearbox_1,2025-07-10 05:00:00,67.71,1.045,95.8,222.7,0
Gearbox_1,2025-07-10 06:00:00,61.0,1.316,95.3,222.4,0
Gearbox_1,2025-07-10 07:00:00,58.77,0.587,98.3,223.6,0
Gearbox_1,2025-07-10 08:00:00,73.02,1.189,96.5,220.8,0
Gearbox_1,2025-07-10 09:00:00,58.22,1.416,90.7,224.7,0
Gearbox_1,2025-07-10 10:00:00,63.16,0.868,93.5,227.7,0
Gearbox_1,2025-07-10 11:00:00,61.21,1.462,96.9,228.4,0
Gearbox_1,2025-07-10 12:00:00,62.09,1.199,94.4,229.8,0
Gearbox_1,2025-07-10 13:00:00,57.51,0.545,96.4,227.8,0
Gearbox_1,2025-07-10 14:00:00,55.47,1.498,95.7,227.6,0
Gearbox_1,2025-07-10 15:00:00,60.15,0.151,96.3,231.1,0
Gearbox_1,2025-07-10 16:00:00,54.52,1.579,101.0,233.2,0
Gearbox_1,2025-07-10 17:00:00,57.06,0.92,98.0,232.0,0
Gearbox_1,2025-07-10 18:00:00,59.6,1.497,94.4,233.5,0
Gearbox_1,2025-07-10 19:00:00,62.83,1.506,95.8,234.3,0
Gearbox_1,2025-07-10 20:00:00,58.3,1.546,98.2,232.3,0
Gearbox_1,2025-07-10 21:00:00,57.48,1.159,95.2,236.1,0
Gearbox_1,2025-07-10 22:00:00,53.41,1.049,98.6,237.2,0
Gearbox_1,2025-07-10 23:00:00,58.56,0.664,97.5,240.6,0
Gearbox_1,2025-07-11 00:00:00,66.39,1.105,97.0,238.2,0
Gearbox_1,2025-07-11 01:00:00,56.69,1.14,94.1,242.1,0
Gearbox_1,2025-07-11 02:00:00,57.82,0.807,97.9,242.0,0
Gearbox_1,2025-07-11 03:00:00,61.66,1.256,98.7,244.0,0
Gearbox_1,2025-07-11 04:00:00,59.23,1.281,96.3,244.2,0
Gearbox_1,2025-07-11 05:00:00,51.61,1.227,96.3,244.8,0
Gearbox_1,2025-07-11 06:00:00,57.57,0.831,96.3,245.4,0
Gearbox_1,2025-07-11 07:00:00,53.34,1.566,95.8,245.8,0
Gearbox_1,2025-07-11 08:00:00,68.4,0.657,96.2,246.7,0
Gearbox_1,2025-07-11 09:00:00,65.18,0.722,95.4,248.7,0
Gearbox_1,2025-07-11 10:00:00,61.65,0.661,96.7,249.4,0
Gearbox_1,2025-07-11 11:00:00,59.09,1.852,95.6,251.6,0
Gearbox_1,2025-07-11 12:00:00,60.6,0.782,97.0,254.2,0
Gearbox_1,2025-07-11 13:00:00,58.7,1.095,94.7,252.3,0
Gearbox_1,2025-07-11 14:00:00,64.95,0.567,97.7,253.0,0
Gearbox_1,2025-07-11 15:00:00,62.29,1.225,94.2,253.2,0
Gearbox_1,2025-07-11 16:00:00,62.09,1.912,93.1,255.4,0
Gearbox_1,2025-07-11 17:00:00,63.15,0.712,95.9,256.7,0
Gearbox_1,2025-07-11 18:00:00,59.9,1.653,94.0,254.1,0
Gearbox_1,2025-07-11 19:00:00,60.44,1.342,95.0,256.3,0
Gearbox_1,2025-07-11 20:00:00,54.11,1.458,93.8,258.4,0
Gearbox_1,2025-07-11 21:00:00,54.58,1.494,95.4,262.8,0
Gearbox_1,2025-07-11 22:00:00,63.4,0.929,96.8,264.6,0
Gearbox_1,2025-07-11 23:00:00,52.24,1.086,96.4,264.0,0
Gearbox_1,2025-07-12 00:00:00,63.09,1.313,96.7,264.8,0
Gearbox_1,2025-07-12 01:00:00,54.15,1.386,97.2,264.2,0
Gearbox_1,2025-07-12 02:00:00,57.36,1.129,95.7,264.4,0
Gearbox_1,2025-07-12 03:00:00,57.49,1.407,95.9,264.7,0
Gearbox_1,2025-07-12 04:00:00,56.73,1.064,94.2,268.7,0
Gearbox_1,2025-07-12 05:00:00,52.95,1.103,96.0,270.0,0
Gearbox_1,2025-07-12 06:00:00,64.11,1.044,92.7,267.7,0
Gearbox_1,2025-07-12 07:00:00,61.36,1.106,93.4,271.2,0
Gearbox_1,2025-07-12 08:00:00,58.88,1.151,94.1,272.5,0
Gearbox_1,2025-07-12 09:00:00,56.17,0.909,94.0,270.8,0
Gearbox_1,2025-07-12 10:00:00,57.88,0.777,97.3,273.2,0
Gearbox_1,2025-07-12 11:00:00,66.02,1.588,96.3,276.2,0
Gearbox_1,2025-07-12 12:00:00,60.63,1.599,97.9,276.8,0
Gearbox_1,2025-07-12 13:00:00,58.82,1.43,94.0,277.9,0
Gearbox_1,2025-07-12 14:00:00,57.44,1.079,92.9,278.3,0
Gearbox_1,2025-07-12 15:00:00,62.2,1.335,95.4,277.1,0
Gearbox_1,2025-07-12 16:00:00,55.36,1.471,98.5,278.6,0
Gearbox_1,2025-07-12 17:00:00,61.22,1.401,93.6,281.7,0
Gearbox_1,2025-07-12 18:00:00,58.16,0.957,93.3,283.0,0
Gearbox_1,2025-07-12 19:00:00,62.22,1.929,94.4,281.0,0
Gearbox_1,2025-07-12 20:00:00,58.9,1.227,94.5,283.4,0
Gearbox_1,2025-07-12 21:00:00,62.76,1.509,96.4,283.1,0
Gearbox_1,2025-07-12 22:00:00,55.39,0.759,93.4,284.4,0
Gearbox_1,2025-07-12 23:00:00,60.58,1.152,94.3,286.8,0
Gearbox_1,2025-07-13 00:00:00,61.37,1.964,93.6,289.4,0
Gearbox_1,2025-07-13 01:00:00,57.87,1.586,97.3,288.4,0
Gearbox_1,2025-07-13 02:00:00,53.54,2.093,96.5,288.9,0
Gearbox_1,2025-07-13 03:00:00,68.6,1.899,96.4,292.5,0
Gearbox_1,2025-07-13 04:00:00,63.36,0.92,96.1,292.5,0
Gearbox_1,2025-07-13 05:00:00,58.14,1.139,95.6,294.3,0
Gearbox_1,2025-07-13 06:00:00,63.69,1.342,98.8,296.2,0
Gearbox_1,2025-07-13 07:00:00,56.38,0.964,95.6,296.6,0
Gearbox_1,2025-07-13 08:00:00,49.09,1.032,88.6,297.3,0
Gearbox_1,2025-07-13 09:00:00,61.99,1.025,95.3,294.2,0
Gearbox_1,2025-07-13 10:00:00,54.08,1.454,96.9,299.0,0
Gearbox_1,2025-07-13 11:00:00,62.75,1.387,94.1,300.1,0
Gearbox_1,2025-07-13 12:00:00,61.28,1.839,97.6,300.4,0
Gearbox_1,2025-07-13 13:00:00,58.22,0.863,94.3,303.7,0
Gearbox_1,2025-07-13 14:00:00,66.04,1.014,97.2,300.6,0
Gearbox_1,2025-07-13 15:00:00,55.17,1.406,93.2,301.2,0
Gearbox_1,2025-07-13 16:00:00,61.82,0.891,92.1,303.0,0
Gearbox_1,2025-07-13 17:00:00,52.16,1.482,83.9,305.5,0
Gearbox_1,2025-07-13 18:00:00,60.62,4.94,96.8,306.5,1
Gearbox_1,2025-07-13 19:00:00,58.1,1.361,98.3,305.5,0
Gearbox_1,2025-07-13 20:00:00,65.18,1.379,97.6,308.9,0
Gearbox_1,2025-07-13 21:00:00,59.31,0.958,98.4,309.2,0
Gearbox_1,2025-07-13 22:00:00,57.44,1.463,97.3,310.6,0
Gearbox_1,2025-07-13 23:00:00,65.87,1.931,95.7,309.4,0
Gearbox_1,2025-07-14 00:00:00,66.88,1.951,94.6,313.8,0
Gearbox_1,2025-07-14 01:00:00,63.14,1.271,96.6,315.3,0
Gearbox_1,2025-07-14 02:00:00,58.38,1.093,95.3,314.6,0
Gearbox_1,2025-07-14 03:00:00,62.1,1.476,94.1,313.3,0
Gearbox_1,2025-07-14 04:00:00,62.99,1.075,95.2,316.4,0
Gearbox_1,2025-07-14 05:00:00,55.94,1.194,92.8,316.7,0
Gearbox_1,2025-07-14 06:00:00,61.46,0.835,93.7,317.9,0
Gearbox_1,2025-07-14 07:00:00,60.12,1.111,93.9,318.3,0
Gearbox_1,2025-07-14 08:00:00,51.26,1.32,100.4,320.9,0
Gearbox_1,2025-07-14 09:00:00,55.55,1.215,94.4,320.9,0
Gearbox_1,2025-07-14 10:00:00,60.96,1.158,97.1,322.7,0
Gearbox_1,2025-07-14 11:00:00,59.02,0.66,93.9,324.9,0
Gearbox_1,2025-07-14 12:00:00,66.62,1.359,92.8,326.9,0
Gearbox_1,2025-07-14 13:00:00,55.53,1.064,97.1,324.1,0
Gearbox_1,2025-07-14 14:00:00,56.99,1.669,95.9,327.8,0
Gearbox_1,2025-07-14 15:00:00,57.91,1.443,97.8,327.6,0
Gearbox_1,2025-07-14 16:00:00,55.21,0.928,94.4,328.0,0
Gearbox_1,2025-07-14 17:00:00,61.36,1.072,98.1,328.1,0
Gearbox_1,2025-07-14 18:00:00,49.71,1.434,102.6,330.2,0
Gearbox_1,2025-07-14 19:00:00,60.59,1.057,96.2,330.6,0
Gearbox_1,2025-07-14 20:00:00,64.96,1.0,96.9,331.3,0
Gearbox_1,2025-07-14 21:00:00,65.13,1.188,95.5,333.1,0
Gearbox_1,2025-07-14 22:00:00,63.73,0.945,97.3,336.4,0
Gearbox_1,2025-07-14 23:00:00,65.93,1.045,95.2,336.3,0
Gearbox_1,2025-07-15 00:00:00,58.54,1.381,93.4,337.0,0
Gearbox_1,2025-07-15 01:00:00,52.06,1.431,98.2,336.7,0
Gearbox_1,2025-07-15 02:00:00,67.26,1.665,93.5,336.6,0
Gearbox_1,2025-07-15 03:00:00,58.24,0.631,95.9,340.8,0
Gearbox_1,2025-07-15 04:00:00,59.88,1.458,95.8,341.4,0
Gearbox_1,2025-07-15 05:00:00,55.08,1.225,95.6,338.5,0
Gearbox_1,2025-07-15 06:00:00,62.11,0.935,95.6,344.3,0
Gearbox_1,2025-07-15 07:00:00,55.53,1.123,98.9,340.1,0
Gearbox_1,2025-07-15 08:00:00,57.28,0.817,92.9,345.6,0
Gearbox_1,2025-07-15 09:00:00,46.66,1.688,94.6,342.7,0
Gearbox_1,2025-07-15 10:00:00,61.42,0.397,94.3,346.3,0
Gearbox_1,2025-07-15 11:00:00,60.17,1.482,95.7,346.5,0
Gearbox_1,2025-07-15 12:00:00,57.89,0.788,94.2,349.7,0
Gearbox_1,2025-07-15 13:00:00,60.32,1.379,94.9,348.2,0
Gearbox_1,2025-07-15 14:00:00,60.85,1.347,96.7,347.7,0
Gearbox_1,2025-07-15 15:00:00,67.58,1.35,95.0,349.9,0
Gearbox_1,2025-07-15 16:00:00,60.79,0.585,95.7,351.7,0
Gearbox_1,2025-07-15 17:00:00,61.29,1.633,96.5,352.9,0
Gearbox_1,2025-07-15 18:00:00,64.22,0.815,96.5,356.5,0
Gearbox_1,2025-07-15 19:00:00,53.96,1.2,94.1,354.5,0
